2023-02-15 04:38:02,774 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-15 04:38:12,478 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-15 04:38:12,478 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-15 04:38:12,478 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 04:38:15,089 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 04:39:17,658 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-15 04:39:46,112 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 04:39:48,614 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 04:40:10,108 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 04:40:10,110 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
